week,home_team,away_team,home_score,away_score,home_projected,away_projected,year,league_id,league_name
1,C Deez 🥜,All TUA Easy ,86.99,121.29,7.95,11.32,2023,499904937,Sunday Funday
1,Mo' Mooney Mo' Problems,Hop on my Chubb,133.68,86.04,7.61,8.12,2023,499904937,Sunday Funday
1,Fourth and Drunk,Dawg Pound,70.25,152.52,7.87,7.34,2023,499904937,Sunday Funday
1,Olave Garden,Team JB,141.68,159.57,18.33,31.74,2023,499904937,Sunday Funday
1,Mixon Match,Estebandz,109.52,83.66,8.34,20.83,2023,499904937,Sunday Funday
1,Team Williams,Bonchon Robinson,99.66,70.32,8.69,8.04,2023,499904937,Sunday Funday
2,All TUA Easy ,Hop on my Chubb,93.43,137.17,112.76,126.85,2023,499904937,Sunday Funday
2,Dawg Pound,C Deez 🥜,138.15,144.47,132.63,113.56,2023,499904937,Sunday Funday
2,Team JB,Mo' Mooney Mo' Problems,163.25,94.81,134.58,126.36,2023,499904937,Sunday Funday
2,Estebandz,Fourth and Drunk,128.97,141.25,114.02,97.05,2023,499904937,Sunday Funday
2,Bonchon Robinson,Olave Garden,137.75,105.12,119.73,124.97,2023,499904937,Sunday Funday
2,Team Williams,Mixon Match,107.43,124.15,128.25,118.58,2023,499904937,Sunday Funday
3,Dawg Pound,All TUA Easy ,122.88,183.74,132.22,131.58,2023,499904937,Sunday Funday
3,Hop on my Chubb,Team JB,110.16,109.43,116.54,136.61,2023,499904937,Sunday Funday
3,C Deez 🥜,Estebandz,160.04,129.12,122.7,123.08,2023,499904937,Sunday Funday
3,Mo' Mooney Mo' Problems,Bonchon Robinson,93.03,136.11,128.43,119.31,2023,499904937,Sunday Funday
3,Fourth and Drunk,Team Williams,74.52,156.01,88.98,129.07,2023,499904937,Sunday Funday
3,Olave Garden,Mixon Match,125.23,178.03,125.33,130.76,2023,499904937,Sunday Funday
4,All TUA Easy ,Team JB,121.06,123.79,130.63,133.12,2023,499904937,Sunday Funday
4,Estebandz,Dawg Pound,126.77,122.02,126.36,133.59,2023,499904937,Sunday Funday
4,Bonchon Robinson,Hop on my Chubb,119.85,121.06,123.44,116.24,2023,499904937,Sunday Funday
4,Team Williams,C Deez 🥜,175.76,94.63,126.89,123.91,2023,499904937,Sunday Funday
4,Mixon Match,Mo' Mooney Mo' Problems,119.38,118.81,128.05,127.51,2023,499904937,Sunday Funday
4,Olave Garden,Fourth and Drunk,130.62,73.73,128.44,107.39,2023,499904937,Sunday Funday
5,Estebandz,All TUA Easy ,160.4,145.98,124.98,100.61,2023,499904937,Sunday Funday
5,Team JB,Bonchon Robinson,131.06,94.84,122.52,117.87,2023,499904937,Sunday Funday
5,Dawg Pound,Team Williams,87.09,101.27,129.69,121.7,2023,499904937,Sunday Funday
5,Hop on my Chubb,Mixon Match,112.49,139.04,121.58,125.79,2023,499904937,Sunday Funday
5,C Deez 🥜,Olave Garden,125.79,158.88,119.34,131.08,2023,499904937,Sunday Funday
5,Mo' Mooney Mo' Problems,Fourth and Drunk,125.63,112.39,122.24,88.15,2023,499904937,Sunday Funday
6,All TUA Easy ,Bonchon Robinson,110.0,87.3,125.6,111.22,2023,499904937,Sunday Funday
6,Team Williams,Estebandz,157.16,94.85,132.04,140.51,2023,499904937,Sunday Funday
6,Mixon Match,Team JB,173.9,128.08,134.07,134.68,2023,499904937,Sunday Funday
6,Olave Garden,Dawg Pound,113.36,133.18,117.18,132.16,2023,499904937,Sunday Funday
6,Fourth and Drunk,Hop on my Chubb,98.79,92.55,125.81,119.25,2023,499904937,Sunday Funday
6,Mo' Mooney Mo' Problems,C Deez 🥜,105.08,102.91,127.72,124.86,2023,499904937,Sunday Funday
7,Team Williams,All TUA Easy ,130.35,108.89,135.47,123.45,2023,499904937,Sunday Funday
7,Bonchon Robinson,Mixon Match,87.71,88.87,99.23,121.18,2023,499904937,Sunday Funday
7,Estebandz,Olave Garden,134.86,130.96,90.58,118.15,2023,499904937,Sunday Funday
7,Team JB,Fourth and Drunk,140.67,85.54,122.26,124.38,2023,499904937,Sunday Funday
7,Dawg Pound,Mo' Mooney Mo' Problems,141.01,71.6,129.52,98.79,2023,499904937,Sunday Funday
7,Hop on my Chubb,C Deez 🥜,147.8,92.49,116.41,111.15,2023,499904937,Sunday Funday
8,All TUA Easy ,Mixon Match,138.95,147.91,116.52,139.85,2023,499904937,Sunday Funday
8,Olave Garden,Team Williams,107.3,135.19,135.25,136.85,2023,499904937,Sunday Funday
8,Fourth and Drunk,Bonchon Robinson,130.3,119.83,119.41,116.05,2023,499904937,Sunday Funday
8,Mo' Mooney Mo' Problems,Estebandz,126.56,120.36,119.33,117.95,2023,499904937,Sunday Funday
8,C Deez 🥜,Team JB,176.24,141.33,120.4,131.14,2023,499904937,Sunday Funday
8,Hop on my Chubb,Dawg Pound,122.19,119.3,123.4,134.37,2023,499904937,Sunday Funday
9,Olave Garden,All TUA Easy ,124.39,87.95,108.66,111.2,2023,499904937,Sunday Funday
9,Mixon Match,Fourth and Drunk,117.83,133.82,142.16,121.28,2023,499904937,Sunday Funday
9,Team Williams,Mo' Mooney Mo' Problems,158.42,107.64,135.11,106.77,2023,499904937,Sunday Funday
9,Bonchon Robinson,C Deez 🥜,97.96,174.03,110.71,122.41,2023,499904937,Sunday Funday
9,Estebandz,Hop on my Chubb,94.87,119.13,124.67,124.23,2023,499904937,Sunday Funday
9,Team JB,Dawg Pound,84.48,146.21,125.59,117.18,2023,499904937,Sunday Funday
