name,position,team,owner,total_points,total_projected_points,avg_points,projected_avg_points,year,league_id,league_name
Chris Olave,WR,NO,Olave Garden,213.3,203.42,13.33,13.56,2023,499904937,Sunday Funday
Dameon Pierce,RB,HOU,Olave Garden,79.45,0.0,5.67,0.0,2023,499904937,Sunday Funday
DJ Moore,WR,CHI,Olave Garden,268.0,0.0,15.76,0.0,2023,499904937,Sunday Funday
Zay Flowers,WR,BAL,Olave Garden,189.9,0.0,11.87,0.0,2023,499904937,Sunday Funday
Jets D/ST,D/ST,NYJ,Olave Garden,281.44,0.0,16.56,0.0,2023,499904937,Sunday Funday
C.J. Stroud,QB,HOU,Olave Garden,257.52,0.0,17.17,0.0,2023,499904937,Sunday Funday
Browns D/ST,D/ST,CLE,Olave Garden,285.66,0.0,16.8,0.0,2023,499904937,Sunday Funday
Christian McCaffrey,RB,SF,Olave Garden,379.55,0.0,23.72,0.0,2023,499904937,Sunday Funday
Jake Ferguson,TE,DAL,Olave Garden,159.35,0.0,9.37,0.0,2023,499904937,Sunday Funday
Justin Jefferson,WR,MIN,Olave Garden,189.95,0.0,18.99,0.0,2023,499904937,Sunday Funday
D'Onta Foreman,RB,CLE,Olave Garden,87.45,0.0,8.75,0.0,2023,499904937,Sunday Funday
De'Von Achane,RB,MIA,Olave Garden,190.2,0.0,17.29,0.0,2023,499904937,Sunday Funday
David Montgomery,RB,DET,Olave Garden,206.2,0.0,14.73,0.0,2023,499904937,Sunday Funday
Jonathan Mingo,WR,CAR,Olave Garden,73.05,0.0,4.87,0.0,2023,499904937,Sunday Funday
Geno Smith,QB,SEA,Olave Garden,204.51,0.0,13.63,0.0,2023,499904937,Sunday Funday
Chase McLaughlin,K,TB,Olave Garden,140.3,111.57,8.25,6.56,2023,499904937,Sunday Funday
Tyreek Hill,WR,MIA,Mixon Match,361.9,0.0,22.62,0.0,2023,499904937,Sunday Funday
Joe Mixon,RB,HOU,Mixon Match,254.75,0.0,14.99,0.0,2023,499904937,Sunday Funday
Keenan Allen,WR,CHI,Mixon Match,255.11,0.0,19.62,0.0,2023,499904937,Sunday Funday
Breece Hall,RB,NYJ,Mixon Match,277.75,0.0,16.34,0.0,2023,499904937,Sunday Funday
Drake London,WR,ATL,Mixon Match,158.63,0.0,9.91,0.0,2023,499904937,Sunday Funday
Christian Kirk,WR,JAX,Mixon Match,136.26,0.0,11.35,0.0,2023,499904937,Sunday Funday
Pat Freiermuth,TE,PIT,Mixon Match,69.55,134.23,5.8,8.95,2023,499904937,Sunday Funday
Nico Collins,WR,HOU,Mixon Match,247.15,0.0,16.48,0.0,2023,499904937,Sunday Funday
Jordan Love,QB,GB,Mixon Match,285.56,0.0,16.8,0.0,2023,499904937,Sunday Funday
Adam Thielen,WR,CAR,Mixon Match,205.5,0.0,12.09,0.0,2023,499904937,Sunday Funday
Dalton Schultz,TE,HOU,Mixon Match,135.5,0.0,9.03,0.0,2023,499904937,Sunday Funday
Odell Beckham Jr.,WR,None,Mixon Match,100.0,138.58,7.14,10.66,2023,499904937,Sunday Funday
Zay Jones,WR,JAX,Mixon Match,69.6,0.0,7.73,0.0,2023,499904937,Sunday Funday
Gardner Minshew,QB,LV,Mixon Match,170.45,0.0,10.03,0.0,2023,499904937,Sunday Funday
Tyler Bass,K,BUF,Mixon Match,121.8,132.16,7.16,7.77,2023,499904937,Sunday Funday
Rams D/ST,D/ST,LAR,Mixon Match,130.96,0.0,7.7,0.0,2023,499904937,Sunday Funday
Rashid Shaheed,WR,NO,Mixon Match,146.6,0.0,9.77,0.0,2023,499904937,Sunday Funday
Saquon Barkley,RB,PHI,Hop on my Chubb,211.7,0.0,15.12,0.0,2023,499904937,Sunday Funday
Mark Andrews,TE,BAL,Hop on my Chubb,123.15,0.0,12.32,0.0,2023,499904937,Sunday Funday
DeAndre Hopkins,WR,TEN,Hop on my Chubb,210.6,0.0,12.39,0.0,2023,499904937,Sunday Funday
Diontae Johnson,WR,CAR,Hop on my Chubb,140.95,0.0,10.07,0.0,2023,499904937,Sunday Funday
James Conner,RB,ARI,Hop on my Chubb,197.75,0.0,15.21,0.0,2023,499904937,Sunday Funday
Trevor Lawrence,QB,JAX,Hop on my Chubb,227.29,0.0,14.21,0.0,2023,499904937,Sunday Funday
Courtland Sutton,WR,DEN,Hop on my Chubb,173.95,0.0,10.87,0.0,2023,499904937,Sunday Funday
Jakobi Meyers,WR,LV,Hop on my Chubb,200.83,0.0,12.55,0.0,2023,499904937,Sunday Funday
Dolphins D/ST,D/ST,MIA,Hop on my Chubb,237.74,0.0,13.98,0.0,2023,499904937,Sunday Funday
Puka Nacua,WR,LAR,Hop on my Chubb,278.5,0.0,16.38,0.0,2023,499904937,Sunday Funday
Zach Ertz,TE,WSH,Hop on my Chubb,44.95,0.0,6.42,0.0,2023,499904937,Sunday Funday
Tyjae Spears,RB,TEN,Hop on my Chubb,139.8,0.0,8.22,0.0,2023,499904937,Sunday Funday
Dak Prescott,QB,DAL,Hop on my Chubb,318.09,0.0,18.71,0.0,2023,499904937,Sunday Funday
Riley Patterson,K,JAX,Hop on my Chubb,87.5,0.0,5.83,0.0,2023,499904937,Sunday Funday
Devin Singletary,RB,NYG,Hop on my Chubb,161.09,0.0,9.48,0.0,2023,499904937,Sunday Funday
Isaiah Likely,TE,BAL,Hop on my Chubb,95.6,54.11,5.62,3.61,2023,499904937,Sunday Funday
Juwan Johnson,TE,NO,Hop on my Chubb,88.55,0.0,6.81,0.0,2023,499904937,Sunday Funday
Lucas Havrisik,K,CLE,Hop on my Chubb,48.2,0.0,5.36,0.0,2023,499904937,Sunday Funday
Travis Kelce,TE,KC,Estebandz,196.65,0.0,13.11,0.0,2023,499904937,Sunday Funday
DK Metcalf,WR,SEA,Estebandz,213.15,0.0,13.32,0.0,2023,499904937,Sunday Funday
Josh Allen,QB,BUF,Estebandz,365.39,0.0,21.49,0.0,2023,499904937,Sunday Funday
Deebo Samuel,WR,SF,Estebandz,233.45,0.0,15.56,0.0,2023,499904937,Sunday Funday
Alvin Kamara,RB,NO,Estebandz,214.25,0.0,16.48,0.0,2023,499904937,Sunday Funday
Brandin Cooks,WR,DAL,Estebandz,159.45,0.0,9.97,0.0,2023,499904937,Sunday Funday
